,time,CoxReduced,Cox,Cox-TV,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit,RRF-TV
0,1,0.011316763865737909,0.011116828057977307,0.01115163629307135,0.011116267836510898,0.011132306798549716,0.011073844191540444,0.011557807137195323,0.011161891787102548,0.011031813924617122,0.011080572146041521,0.01107664061876618,0.011026464915558587
1,2,0.026551615676181684,0.025071111887403484,0.025078326840983343,0.025112408282167053,0.025645521246472,0.025524914355826104,0.0280991960885031,0.025334844477805697,0.024857398108864674,0.025229313026066843,0.025082775572889415,0.025348894286706336
2,3,0.041580224038525355,0.03874337982925888,0.037432195408985944,0.03877894315423129,0.03939917321787704,0.03923392546845314,0.044995524469123534,0.03887847321090012,0.038075864244643896,0.03875601059673771,0.038622753238460525,0.03854959547753137
3,4,0.05677907298392234,0.052194221247567264,0.0495627006399463,0.052185475224618916,0.053077122799383925,0.053022103668667206,0.06256691234030892,0.052250535357380785,0.0513497744078013,0.05211531597214424,0.05191307724113445,0.051027933228589124
4,5,0.07126981354097643,0.0650980763079314,0.061828086340981366,0.06514241768208749,0.06627349221634529,0.06625563808374986,0.08039185752119142,0.065295568048877,0.06414959416591359,0.06516646673611266,0.06487494442008496,0.06368694231453009
5,6,0.08456387324243336,0.07693861553218315,0.07336132392473582,0.07703433169866537,0.07821754271425169,0.0789027673936834,0.09890558656321508,0.07695791687700183,0.07612579714773154,0.07711841022722288,0.07690030199032039,0.07531545157212123
6,7,0.09540401761822827,0.08604046747295455,0.0817386097107066,0.08607084712931694,0.08771986423745082,0.08863028354028889,0.11366086071394206,0.08628938883599886,0.08529790878839866,0.08636308495437857,0.0858447025355739,0.08378685443817192
7,8,0.10961022368155385,0.0980159726216463,0.09232482024515959,0.09780005570129469,0.1002295259980244,0.10078537747618091,0.13099359951610912,0.09806549819510267,0.09671688452817766,0.09835460999185591,0.09675605541830162,0.0944562182116368
8,9,0.1209664942058905,0.10744290980581783,0.10067278997298679,0.10721019217433365,0.11014715156382186,0.11013880195310806,0.14576950834320612,0.10745431513557482,0.10583284928410845,0.10775880869688799,0.10620815031376273,0.10197033633435693
9,10,0.12981012933146607,0.1144695369288248,0.10572173159025676,0.11423104548763162,0.11756430402422409,0.11813418241080298,0.16151619025847022,0.11444357289897708,0.11274190687545789,0.11516340009705149,0.11325208911959404,0.10827711480632511
10,11,0.13677422151745697,0.12083699902839411,0.11126937193917182,0.1205079983042889,0.12342746422216497,0.1244260672818905,0.17270715702134815,0.12074782185823078,0.11874068042484938,0.1214076612796496,0.11985065788097889,0.11323953445225207
