,time,CoxReduced,Cox,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit
0,1,0.0158582741477511,0.015391925711994813,0.015381825351708437,0.015586029217401019,0.015612603458178395,0.01650948648583908,0.015432869708748895,0.015395573298471977,0.015552235450020366,0.015544301663067419
1,2,0.03313032602097665,0.031322778022893204,0.03131873804129698,0.03196076668286865,0.03193253444232856,0.0356271295864185,0.031650336655188814,0.030921904683127117,0.03171449722603195,0.0316161728801628
2,3,0.04899856112939107,0.04548485300514358,0.045448162800278906,0.04642750090164361,0.04650683615633029,0.0538285847569052,0.04551993973477859,0.044746071864658676,0.04576244503047499,0.04691109631739085
3,4,0.06413343891689481,0.05863006426222036,0.05855713951951613,0.06005783033626438,0.06015551837548046,0.0724405200118787,0.05865289372457208,0.057887021454836304,0.05928596259830736,0.0598307192235861
4,5,0.07915235517483801,0.0720055823959843,0.07196687028013855,0.07388349871192887,0.07406844560944574,0.09220727802357118,0.07236975227010253,0.07153666574590574,0.0728365493995713,0.07273389182184237
5,6,0.09235297655054221,0.08344941017274767,0.08343704532241608,0.08558777331086707,0.08667051825222086,0.11270943926705042,0.08347922121900721,0.08306902916198429,0.08437196889401537,0.08455736267581412
6,7,0.10329993537061971,0.09277540262840404,0.0926847224251966,0.0951646576300393,0.09653442288191917,0.1279606159560372,0.09282097568915527,0.09231040753123505,0.09368398943855256,0.09409203439885229
7,8,0.1170728924470182,0.1040371462539373,0.10375508034539974,0.10679551350585823,0.1079552162351307,0.14573206411522988,0.1041370696055072,0.1032792848621781,0.10531415613107577,0.10483223525917194
8,9,0.12921465569292406,0.1144544996257378,0.1141648050771365,0.11782138904221899,0.11896536149069793,0.1620413772719292,0.11452340294737018,0.11397967343386596,0.1157864341027505,0.11637091473814107
9,10,0.13789201162045336,0.12174303471042829,0.12141338259337571,0.12476602280347697,0.12659399991176087,0.17765505018023753,0.12157539649500876,0.12160178127891012,0.12306220867653511,0.12338720336432572
10,11,0.1434009380892725,0.12725389435284443,0.12692573441644509,0.13009365799494418,0.13255517022173816,0.19018856773530188,0.12729444009561053,0.12677214417599222,0.12819265375270708,0.12892714125789315
11,12,0.14804695128783263,0.13034268956808948,0.13006873190055268,0.13381182998189645,0.13692814578550433,0.2030588894693708,0.13063742632905553,0.13065293638658967,0.13158728756358276,0.13283224610413352
12,13,0.152595970493276,0.13393448628098226,0.1336238891844338,0.13753154854116306,0.14111179159773066,0.21293712451549524,0.13409207257447855,0.13465398894717712,0.13515878852721522,0.1363060350541273
13,14,0.15935991724053128,0.1410768837223686,0.1406041869781461,0.14377543891262692,0.14743062689587666,0.22246104375982614,0.14100678374305772,0.14141779670638663,0.14216292523951699,0.14348232783154796
14,15,0.1650008120320771,0.14731069332885827,0.14661301714894856,0.1489562408092064,0.15335834118149114,0.2310077224029727,0.14684119887478386,0.14765480096883216,0.14822758727789373,0.149895308909
15,16,0.16762110516064066,0.14991714687131305,0.1491424504785124,0.1510277505502649,0.15627522782357073,0.2388859493112442,0.14877879522887466,0.1499650111632511,0.15036090184012763,0.15188647607871147
16,17,0.16862056487124452,0.1504311888282076,0.14960956883905963,0.15141557179585777,0.15633299893302732,0.24423385458086827,0.14974421325971848,0.14997556971988718,0.15052117214253669,0.1522412251347452
17,18,0.16875120317473252,0.14993142594011177,0.1490853495945666,0.1509249194669763,0.15606616474037638,0.2481179136953577,0.14935335305560002,0.1498361142222503,0.14986371126777004,0.15200549807757674
18,19,0.16881955046336763,0.15141554646326963,0.15041879823219423,0.15172806232995537,0.15705866255813067,0.24985561517890528,0.15023126324636274,0.15103237693161667,0.15112243691990493,0.15389542491314284
19,20,0.16566299171643245,0.1499087947747204,0.1490185732735145,0.15000129463479472,0.15596885761587168,0.24847782241075766,0.14911861388825084,0.14993499085759732,0.14952291871926554,0.15188491465201062
20,21,0.16436000949924437,0.15056140695043269,0.14963092512004916,0.14980087610874823,0.15685534486572542,0.2469401137545883,0.14935658282486705,0.14928211762097124,0.14949951647431833,0.15260761954862112
21,22,0.16234311432229498,0.1484126123337406,0.14745545790685216,0.14777902507890334,0.15628524335923513,0.24507408265535374,0.14716841898948438,0.14696509404185798,0.14717076950976496,0.15034583234585275
22,23,0.15735381671311657,0.14363594984817152,0.14270271808373527,0.14275567107351614,0.15143797408854925,0.24104979946477056,0.14259660243886887,0.14239355447571245,0.1428487021730634,0.14543121109662793
23,24,0.15499523519321343,0.140485568739434,0.13964639484032237,0.13972899119298987,0.1481621374756796,0.23368213469507765,0.13925595387889125,0.13942774748254316,0.14012091575846303,0.1425825116187087
24,25,0.14692825565113582,0.13256034343244869,0.13170939081057184,0.1320273049284195,0.14037326868077585,0.22999331940945897,0.13095312173896279,0.13128240020250667,0.13170870651752192,0.15267956590028198
