,time,CoxReduced,Cox,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit
0,1,0.01806867314359372,0.01751275985473298,0.017480901140618694,0.017924488100466266,0.017996088382746817,0.019028624944440915,0.017578473900833964,0.0176041922511282,0.01785433787161268,0.017814426353293097
1,2,0.03817696311532493,0.0360282902648601,0.03598493366768478,0.03680956694005789,0.03695915681720629,0.04158584831918845,0.036307608471186796,0.035372293311843814,0.03647184962467698,0.035944285156923314
2,3,0.055485586159081064,0.05154794803298576,0.051452247136960345,0.05268549265309843,0.05307323154555666,0.061635333284156546,0.05133747831753947,0.05049987296942062,0.051631149843615214,0.05264182373691825
3,4,0.07235885833018034,0.06590949688333508,0.06580105690360269,0.06782033501235216,0.06838962263029223,0.08290695314755853,0.06568024783401598,0.06496322149716754,0.06657187060666009,0.06663347377536324
4,5,0.08945605175572868,0.0810640044100865,0.0809514269905179,0.08306436618475899,0.08363280642979715,0.10323110537911327,0.08123221210912411,0.08036500854247144,0.0814894333549149,0.08144479854356965
5,6,0.10396547601395695,0.09458248002258471,0.09446926120495211,0.09615925417314362,0.09771544953855518,0.12524056465866085,0.09393635793566762,0.09391889396234494,0.09466508737121636,0.09543536904202268
6,7,0.11741934180396216,0.10547896564314702,0.10536366942805823,0.10765516090893139,0.10921573344616677,0.14290269333905073,0.1051513749208086,0.10476124371702997,0.10533023878002801,0.10635728895901728
7,8,0.13354214418649046,0.11891377792928985,0.11845593655914831,0.12119302272647961,0.12210627068191908,0.16199150828565287,0.11890560634628991,0.11788613679996957,0.11869292396752038,0.11867523110410083
8,9,0.148209671776761,0.13135759147125692,0.13098811916274014,0.1345530260124286,0.1354326821584402,0.18018771149847035,0.13149039739705246,0.1307909127629912,0.13112526626568244,0.13277417462039393
9,10,0.15672065827363826,0.13785860544484252,0.13743397454059983,0.14100034823035018,0.14261836005035758,0.19541758971037104,0.13776527350594142,0.13760406024544544,0.13745485066594956,0.13871472892545061
10,11,0.1615246019878072,0.14264831955497972,0.1423199563358133,0.14570619617678346,0.14834052523332478,0.20816811139463043,0.143183842227856,0.14227711035030263,0.14228443298927995,0.1436447766833838
11,12,0.16571635571754062,0.14561106681920388,0.1453058291672297,0.14888814863553781,0.15203408533174,0.2190668541373911,0.1465224805841946,0.14627793966046926,0.14598193560041467,0.1475531183611515
12,13,0.169555003494382,0.14858799528461278,0.1482994146834926,0.15186021025837435,0.155464248290544,0.22844506607781762,0.14978505232349332,0.15023335175109054,0.14942074696636962,0.15041880819755607
13,14,0.17493476938075594,0.1541332528808155,0.15369665026085552,0.15574172050744706,0.15944706497074934,0.23619138906053183,0.15491234590278352,0.1551562431099518,0.15427435033946849,0.15584007931480748
14,15,0.1810155663495751,0.16032583788269988,0.15966821667401518,0.16075344465299088,0.16526730621283914,0.24332432979012858,0.16094216229440458,0.16129840154177322,0.160120595758357,0.16117627415925334
15,16,0.18352888760514935,0.16305062240261753,0.1623475752013812,0.16282663563776603,0.16749137678606318,0.24850330708097942,0.16312601738067445,0.1641675443277894,0.1629295275220302,0.16357660677268168
16,17,0.18447445736120252,0.16397669036736853,0.16325999821680973,0.16358200525272823,0.16810900192733327,0.2512810502550038,0.1642719972879614,0.16453240594376095,0.16354625277334564,0.16442986636669887
17,18,0.18266687069401755,0.16150548861729716,0.16065702209005775,0.16148446840643713,0.16682832892908414,0.25236735341618016,0.16225213766664617,0.16344777521875173,0.16149055034054396,0.16300527304381313
18,19,0.18202138706460055,0.16275367659909287,0.16179322671585125,0.16238886938645836,0.16827300060054132,0.2523552063373146,0.16308618719723744,0.16443271608089688,0.16268784017811527,0.16494850162788366
19,20,0.18040488991847264,0.16333371332624905,0.1625025838085096,0.16152985660495514,0.16830271106593683,0.24954122869021828,0.164119757269212,0.1652364582155324,0.16343675412768793,0.16474138537102745
20,21,0.1776904877078958,0.1620797014917222,0.1611792817140003,0.1597417734917384,0.16851703706161378,0.2449722279477227,0.16243839437877744,0.1624633580852688,0.16188464408784947,0.1634754497387024
21,22,0.17433779633534796,0.15734431143385955,0.15652760785392472,0.15555441706240186,0.16645346572943145,0.23940765383708648,0.15762028653438037,0.1573216349383438,0.15718568546771708,0.15918449601765206
22,23,0.1705390847851983,0.15238747015161763,0.1515398282789146,0.1506409980277205,0.16251681677387814,0.23469941468981545,0.15300435491149023,0.15200638975947656,0.15218139705988118,0.1551456645657354
23,24,0.16493814274936863,0.14769573098794997,0.14694704704764608,0.14585430569723265,0.15708583062447692,0.2232240542379802,0.14771525438927585,0.14754407257747143,0.14832466769595973,0.15049191679919072
24,25,0.1556954899910789,0.13853323803193263,0.1378264709176755,0.13678060123111216,0.1491251748428485,0.21501419084010312,0.1385865317894376,0.13861251994927987,0.1393641271704834,0.15308104559138197
