,time,CoxReduced,Cox,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit
0,1,0.014080853913674266,0.013687223185463986,0.013694533469211985,0.013705186665416424,0.013695901109163187,0.0144828760331916,0.013708540209730044,0.013620285846087586,0.013700807960457358,0.013719202141609963
1,2,0.029099523917980527,0.02756724015598184,0.027594383495151777,0.028084247807830642,0.027913722888317432,0.03086262531760959,0.0279347812571939,0.02736939367484092,0.027912284238940398,0.028160015940766565
2,3,0.0438340261034041,0.04066147475822856,0.040671658434106424,0.04144058417280774,0.04127332790871853,0.04760296423869263,0.04089265570037052,0.04016827177127183,0.041086997340024585,0.042353635055011406
3,4,0.0576035782374384,0.052856757566017314,0.05281204077947016,0.05388783121728358,0.053609000705109766,0.06411172106798634,0.05307996610729225,0.0522721566173781,0.053497169349898024,0.054436569255979506
4,5,0.07100030156230039,0.06484733292478503,0.06486720215078545,0.06660874770174964,0.06648426064359829,0.08345095428925792,0.06536848114291244,0.0645552972113234,0.06598409574455007,0.06585050673977051
5,6,0.08320656475796388,0.07469611363907853,0.07476352562662557,0.07724351509770187,0.07794276286774411,0.10278482994998676,0.07525819895927516,0.07452980231656339,0.07625513255233275,0.07600555026018828
6,7,0.09223055751127052,0.08283261885263336,0.0827620148007243,0.0853481236716867,0.08655681897491656,0.11616976924017212,0.08317163710122612,0.08255574662525268,0.08453954806027497,0.08449313114525901
7,8,0.10432122067446899,0.09254989266593915,0.09240428210363946,0.09560112978317294,0.09692445025691362,0.13297847660542686,0.09273741717003857,0.0919855826093655,0.09493184729686951,0.09414134873501268
8,9,0.11459591600540774,0.10147744876056967,0.10125048390365929,0.1049023434340846,0.10622079318885311,0.14790389697143197,0.1014999806841437,0.10106727698758557,0.10396795611340494,0.10378889917485251
9,10,0.12346184299935298,0.10942285933833283,0.10916714687043266,0.11228422999137318,0.11423504127161918,0.16387305454393464,0.10919513073036474,0.10936488823879094,0.11202755216246607,0.11167609882579166
10,11,0.12955330130295034,0.115524554751947,0.11519782010245587,0.11813098943915507,0.12042725630883627,0.17629718404962633,0.11519171023311386,0.1149525843285649,0.1174344326920099,0.11772139792357063
11,12,0.1345979468463892,0.11875456653541908,0.11850548296892117,0.12230588073621702,0.12537130236303073,0.19072982286151038,0.11858180217935436,0.11879571874915665,0.120648999321951,0.12167561643667368
12,13,0.1397290259603987,0.1228477997825579,0.12252121443581727,0.12663281590038677,0.1301674130386217,0.20103827826906534,0.12221589910624531,0.12287088316848617,0.12436145514521364,0.12564280683764567
13,14,0.1476744207158025,0.13131920344187756,0.13081937389645712,0.13476451624349092,0.13834484162367625,0.21198151195178952,0.13061232877475662,0.13115279761386492,0.1331146406392945,0.13426446236893033
14,15,0.15309488144561886,0.13768002003976468,0.13695156582678883,0.14016006473101036,0.14443723805712275,0.22167493955846934,0.13639619770042127,0.1375816455419787,0.139444385988556,0.1415850341308238
15,16,0.1558467370683674,0.14023873825759914,0.1394092737570096,0.14228101099176754,0.1479204915059833,0.23165778414733523,0.13818406959155316,0.13952171674900504,0.14111941704531472,0.14330463094566379
16,17,0.15688807112285294,0.14043830865632642,0.13953693688682306,0.14240562578423724,0.14757102796942717,0.2389948590666579,0.13901653302656822,0.13925449933385795,0.14093562163932566,0.1432782490612239
17,18,0.15848908485994515,0.14142199629545005,0.14057697488597254,0.14313886824033834,0.14809407431365612,0.24504108754719675,0.1398494175667862,0.13982943972364287,0.1413342247440168,0.14394014636487026
18,19,0.1591376266914974,0.14311535068975859,0.1420903399192215,0.14390154915492454,0.148774238570588,0.2481374248320491,0.14079296832795038,0.14122435562300503,0.14267523438841623,0.1458230974399472
19,20,0.15509004302768264,0.14026527206165199,0.1393285737411757,0.141698928133255,0.14701547396361866,0.24793098264862104,0.13831422209815553,0.1389847992078552,0.13956544266854817,0.1426931443116523
20,21,0.1548892558014377,0.14236730112034857,0.1414121586910081,0.14271778940783744,0.14844893235735937,0.24869303716974234,0.14001497905607008,0.13993429516715153,0.14071465130091432,0.14492962250193792
21,22,0.1538848739727995,0.14213099760379677,0.14106834513193403,0.14231086323491732,0.1489909472934546,0.24961269747426038,0.13977401162380132,0.13970274884605974,0.14013869147788316,0.14415722938513012
22,23,0.14793482225853688,0.13740942784426796,0.13641300318510885,0.13715658634759734,0.14342342725338972,0.2461055410841839,0.1351612544637536,0.13558611990395025,0.13623228747485844,0.13849916631930673
23,24,0.14783577995627434,0.13526635551084265,0.13436335308609584,0.13534658435247698,0.14165281303710733,0.24177288642543898,0.13312521092356036,0.1335765503813935,0.13418851036678472,0.1368303415533219
24,25,0.13946194068279189,0.1273680913286331,0.1264260456987448,0.12804632140909908,0.13323881975499494,0.24137224094950474,0.12447778838259745,0.12498679066031719,0.12513896800831634,0.15160207438640935
