,time,CoxReduced,Cox,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit
0,1,0.7504345910581374,0.8883617985592669,0.888304676399565,0.8710144126181747,0.8520589830829215,0.5,0.8836952662869241,0.8741365840315288,0.5,0.8835706985830526
1,2,0.7443587820908911,0.8327996437664626,0.8312081427212893,0.8308813222267379,0.8248049573140405,0.5,0.8217606374472157,0.8182739815424163,0.5,0.8170151480671758
2,3,0.7627581343843245,0.8479662308533742,0.847887258655601,0.838528918016817,0.8423709420777107,0.5,0.842340033594115,0.8221133596779184,0.8524821815501422,0.808430610424249
3,4,0.7532732959334266,0.8497275507216862,0.8492781777884988,0.8366380665986994,0.8253596548554704,0.5,0.8399565844344477,0.7982943096382001,0.8423375979218579,0.8095445946416728
4,5,0.7574678338108408,0.8500271604370895,0.8500041565671519,0.8395257744396009,0.8300811392185702,0.5,0.8416372734916058,0.8021596751329105,0.8451929881808813,0.8130341810680063
5,6,0.7645826284162103,0.8591983001052426,0.859786716366628,0.8428437022625779,0.8342371275813973,0.5,0.8456427720810992,0.7998446147490488,0.8420628957088047,0.8042624362822328
6,7,0.7738450990970559,0.8625377581875314,0.8633486078106067,0.8482486137333078,0.8431884537579082,0.5,0.8520986495085554,0.8065719087480667,0.843742502265947,0.8056189104969989
7,8,0.7691892426027302,0.8545362904140565,0.8553178542787054,0.8409632333069039,0.8340765359868274,0.5,0.8458774041563826,0.8036220817261344,0.8298343964431256,0.7970449202277666
8,9,0.7631186464071188,0.843915252068316,0.8445053179160724,0.8274098328953605,0.8160047757260281,0.5,0.8357316072759453,0.7943114583174253,0.8223516624954081,0.7928443009975489
9,10,0.7747476034963071,0.8447101155159744,0.8460215543165011,0.8341883917332511,0.8214117280399998,0.5,0.8396578856065511,0.8009413667453116,0.8251311201475253,0.8046380129295657
10,11,0.7875218033879421,0.8486261564927131,0.8496951158450866,0.8385318902185839,0.8283119506368295,0.5,0.8446318626088216,0.7978785355879758,0.8302588836271569,0.8015162466888799
11,12,0.7937219219165159,0.8564375328892931,0.8570404658184493,0.8429987600102137,0.8295329334851419,0.5,0.8500814395576681,0.8100005140143756,0.8408733598506412,0.8028630576849711
12,13,0.7946142344138121,0.8552706527355196,0.8557690179594193,0.844335038119362,0.8308259892260245,0.5,0.8506565764250005,0.8135737952381323,0.8427709548465168,0.814130161634508
13,14,0.7962224227265262,0.8510434066427347,0.8517451368238329,0.8439349179817417,0.8326030790086975,0.5,0.8479824591949572,0.8200020186159335,0.840446578488955,0.8155342919884931
14,15,0.7912767088701497,0.8417310462171312,0.8426851507882107,0.8353247692293453,0.8229009979517252,0.5,0.8413945799377016,0.8176259027959422,0.8320194950917386,0.8087592804797803
15,16,0.7973204218233646,0.8437972846567063,0.8447156279468571,0.838173567701625,0.8292634254639741,0.5,0.8443464847460562,0.8142615741039796,0.8375295613226236,0.8157815191186822
16,17,0.7958958341336554,0.8379452501688703,0.8394625644198919,0.8336550973941552,0.8280685077569842,0.5,0.8424028257784697,0.814551393883375,0.8377695821184316,0.8139263744585832
17,18,0.7894223791473575,0.8392620738948857,0.8405384904803331,0.8345930827926276,0.829326115438894,0.5,0.8434003673008004,0.8113014403329952,0.8411377496524206,0.8163443067180275
18,19,0.7825207534322989,0.8244967627867315,0.826026040448401,0.8214300352730234,0.8180522018332919,0.5,0.8296782665985075,0.7910204140432294,0.8267694256111139,0.8057122048339328
19,20,0.7946039561206757,0.8328316531947453,0.8338887129302972,0.8318010997310941,0.8247274283450627,0.5,0.8363081273102404,0.8024375419204752,0.8388479655239733,0.8141881008125382
20,21,0.8011256815749028,0.8301784185017367,0.8317780479123886,0.830713242018683,0.8203023067810723,0.5,0.8355544424876008,0.7988555947728984,0.8401394256200185,0.805873546633036
21,22,0.8113554317961481,0.8364511576272019,0.8384153735955076,0.8417158942062462,0.8263212674821757,0.5,0.8424946065371328,0.8045571356689658,0.8437512246191871,0.8142944131391601
22,23,0.8123234012436485,0.8387046374491001,0.8409193455127792,0.8439119126685666,0.8309538664406175,0.5,0.8457318139666059,0.8073503222882668,0.8443571752645496,0.8161514295105444
23,24,0.8162715708964334,0.8477792049695841,0.849862575201243,0.84841277467119,0.8329032611500256,0.5,0.8536058846897425,0.8114437198771116,0.841544022950874,0.8147514341292325
24,25,0.8160005634738169,0.8429321807884631,0.8455617019150808,0.8532289182753865,0.8350738963189742,0.5,0.8560339580534105,0.8091522514377452,0.840298014354077,0.8166013218194208
