,time,CoxReduced,Cox,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit
0,1,0.0158580146863699,0.0153334257025036,0.015315316590895361,0.015559803320570663,0.01565862934424364,0.01650948648583908,0.015386205559103869,0.015443996993340058,0.016791870156260467,0.015667793680245325
1,2,0.0331631937392893,0.031380958446928925,0.03130427003577383,0.03187575968552696,0.031930607947837836,0.0356271295864185,0.03166574617331944,0.0316030394930673,0.03699989779770813,0.0320524409786943
2,3,0.049014876949987934,0.045549827813337274,0.045404817273375565,0.04632572538729846,0.04662068305466938,0.0538285847569052,0.04547927826627502,0.046154172965954185,0.0498818281220893,0.04795780109784192
3,4,0.06412673635415696,0.05878848382946867,0.05859120013751849,0.05990274051629698,0.06033945304327953,0.0724405200118787,0.05861219873623656,0.060077714971123054,0.0614283851351431,0.06183795308107404
4,5,0.07913273963595015,0.07221241231029873,0.0720456918617132,0.07364980962253097,0.07425887609510311,0.09220727802357118,0.07241234769226501,0.07454294226058657,0.07442572060621487,0.07666458320453204
5,6,0.09230825060941722,0.08367248829354952,0.08356377161131799,0.08541843405440543,0.08674660510187587,0.11270943926705042,0.08354678642703325,0.08671879437165711,0.08611653364267016,0.090975764653459
6,7,0.10323306646412884,0.09314925123195321,0.09303625283848192,0.09498847048615326,0.09656085380583108,0.1279606159560372,0.09307752223217816,0.09633473547204092,0.0947018908248356,0.10035499877440163
7,8,0.1169914265160868,0.10425980245054126,0.10400585503101008,0.10671017075291771,0.1081305312544478,0.14573206411522988,0.10440592575362936,0.10803895289791818,0.10548926561346374,0.11193825243380812
8,9,0.12915533078303026,0.11493750996642195,0.11463360147872312,0.11780036479234214,0.11920192455845839,0.1620413772719292,0.11484344189047316,0.11979777793481955,0.11613021846339926,0.12449187724616159
9,10,0.13780612480855672,0.12241515869080451,0.12205621813196582,0.12504271075311196,0.12704196753425617,0.17765505018023753,0.12196681046928078,0.1274699009535994,0.12387319415897971,0.1314646632421463
10,11,0.1433906293771479,0.12805073637094094,0.12770492780158021,0.1305302110568698,0.13312745305094423,0.19018856773530188,0.12774514148923488,0.13337227127048232,0.1298440816324871,0.13804853121769883
11,12,0.14804124692045129,0.1311932319153586,0.1309088907219406,0.13434590348606584,0.13776108532410664,0.2030588894693708,0.13122239891505177,0.13761709601028463,0.1335300163367521,0.143881341925241
12,13,0.15259155209209319,0.13503903513957372,0.13468849534850197,0.13806028504391327,0.14209809538848775,0.21293712451549524,0.13480432184459967,0.14171119705857077,0.13765654176266498,0.14573214248658592
13,14,0.1594322863791904,0.14238260333804828,0.14189336542497807,0.14450091693303535,0.1482104154816504,0.22246104375982614,0.14194309168309455,0.14810948252014056,0.14539392671595802,0.1514733380869048
14,15,0.16500816755655645,0.1489340785274742,0.14819872995081598,0.1497664812715431,0.1541710681140781,0.2310077224029727,0.14797560672382692,0.1533883197768533,0.15202940540285742,0.16010019977122186
15,16,0.16771806754726698,0.15168649190710665,0.15093197807974176,0.15209379431496514,0.15727131528720853,0.2388859493112442,0.1499527005842579,0.15735286900825488,0.15570363215549787,0.16249734404551933
16,17,0.1687034507735258,0.15198274075692034,0.1512180040644735,0.15259422966770148,0.157610378227654,0.24423385458086827,0.15089924199596874,0.15833134314641473,0.15683448513955464,0.1639201318697447
17,18,0.16880015331646228,0.15135254437346113,0.1506607675968442,0.15222535403167203,0.1569373993524837,0.2481179136953577,0.15043602994109675,0.15870327356416958,0.15698258327302975,0.16498876171907417
18,19,0.16886015123781792,0.1529622830565161,0.1521420804367225,0.15304766109017623,0.15786294598079928,0.24985561517890528,0.1515228831066474,0.1610251034789166,0.15894734852352038,0.16718593174392546
19,20,0.16569652790182673,0.15176999117814977,0.15103664594186542,0.1512222221855197,0.15693191010964863,0.24847782241075766,0.15033357848712517,0.15798827257713358,0.15737193457455104,0.16537871962093556
20,21,0.16440259860510387,0.15274123726692482,0.15196726790357215,0.15105773934516759,0.157630312131424,0.2469401137545883,0.15072421142453332,0.15918299476329903,0.15806788201987612,0.16777003851655947
21,22,0.16247479524073813,0.15055843794991672,0.14978473375347226,0.14909597190933094,0.15703027979000742,0.24507408265535374,0.1483144739344795,0.15791714991729663,0.15726709669420283,0.16596332367079555
22,23,0.1575778090237886,0.14577217718645497,0.14497167993405743,0.14406776207468172,0.15232338881870996,0.24104979946477056,0.143736117321467,0.15365682904860228,0.15323376644766237,0.1631793536499446
23,24,0.15521137416456818,0.14228865972096297,0.1415222427580469,0.14112094462523245,0.14989249142677555,0.23368213469507765,0.14030967607750172,0.1502711786676809,0.15074760828272826,0.16300896702893053
24,25,0.14723665916439074,0.13480178815492247,0.1340250247101277,0.133545687214315,0.14280954063383003,0.22999331940945897,0.13221545506267934,0.14307184983546936,0.14435384713739796,0.1655504562484178
