,time,CoxReduced,Cox,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit
0,1,0.01920546429599447,0.018141122117111615,0.018141836852984473,0.01898734366666312,0.01899631619411417,0.02003635578885014,0.018256147238107708,0.018574605328345827,0.020441816041383155,0.018995049068946803
1,2,0.03715602473979325,0.034374641798545144,0.03427592649343189,0.03596501940642391,0.03594904061429172,0.03930200321626071,0.03491066687665482,0.03476517754318931,0.04095958474464981,0.036345164862926015
2,3,0.05442620999379516,0.050263290999126575,0.04997566635078987,0.051258576779938926,0.05123075963241093,0.057378505125599236,0.05022510737209847,0.051749048412621276,0.053822220401579114,0.056380196693251054
3,4,0.0751078970648487,0.06893659299963631,0.06859876565808963,0.06992188036836086,0.06967904726738952,0.08094616348926377,0.06851248327681249,0.07146924501004394,0.0719523195106395,0.07695195930706576
4,5,0.0955767547584133,0.0883143826329321,0.08798102187344797,0.0892136359873135,0.08889357040452713,0.1058297025261354,0.08825978082708841,0.09243579490062408,0.09164415286363925,0.09896395492152665
5,6,0.10868997164591422,0.10085068726180876,0.10041275200037568,0.10189104846700614,0.10223667813684216,0.12323065033356355,0.1006593660498905,0.10567623772289994,0.10393323227340835,0.11695015867673848
6,7,0.12223444367132462,0.11255164890796786,0.11203683182855162,0.11377107371744948,0.11405671053213112,0.13953018322048075,0.11191325706001846,0.11772728342386073,0.1153470163609665,0.12999736733573292
7,8,0.1362919528545368,0.12424846178837459,0.12379402573903606,0.12623828021966552,0.1280941968795739,0.15693994326442814,0.12431811680708976,0.13454539264486048,0.12825541122105524,0.1417875237266318
8,9,0.15315006691288421,0.13804571793689716,0.13755136911085789,0.1406561492774199,0.14217272453157465,0.17338893653644924,0.13706516986610393,0.1488454168963964,0.142148329156363,0.15822084565985206
9,10,0.16374084750920384,0.14632639412851714,0.1458149958519587,0.14893372384880985,0.15066795130196822,0.1899111632516934,0.14529714764218768,0.1571171543189482,0.15087507166291234,0.16784368999775245
10,11,0.16773988629483713,0.1492476460138771,0.14892516583045615,0.15331498521384082,0.1558317306920126,0.20337808748769584,0.1491542696179326,0.15959546473333552,0.1571937832438401,0.17361716096136864
11,12,0.17423177283993627,0.15426442100080995,0.15413062366762872,0.15865171154562593,0.16196005812499187,0.21800582072544084,0.15490709541404293,0.16491710302148888,0.16416150485658412,0.18668855155317862
12,13,0.18102357074384756,0.15908239583716471,0.15885651191670294,0.16301766580791677,0.1665698649382259,0.22358787861001037,0.15927733442547326,0.16986712920426597,0.1693153377854098,0.18569679572523343
13,14,0.18698219610782255,0.16250036065938103,0.16219839170301914,0.16545534310682983,0.1693633916455253,0.23002301970787398,0.1619866727568464,0.1732514850694507,0.17288303580545333,0.18496287609881765
14,15,0.19322579684772942,0.16938940914919023,0.16871123690494874,0.17176597781753034,0.17594678248294215,0.23949334506732836,0.16914254127001815,0.17938158770749563,0.18045060151073375,0.19616478510505345
15,16,0.193777515740401,0.1687884874305019,0.1680911338509263,0.17160513133160146,0.17815987836353714,0.24445307254688492,0.16728500321747886,0.18278534950932285,0.18115240677878847,0.19420064516861177
16,17,0.19606331615283495,0.16986780752777655,0.16914520714351033,0.1718346376536385,0.17842075846108407,0.24818010556147263,0.1688941886727579,0.18369036290387922,0.18149611631596357,0.1956053784865627
17,18,0.19059124473155595,0.16249100461089822,0.16177571184731887,0.16429709369277273,0.17211452222367038,0.2496142548754324,0.16156135287114498,0.17960306233809636,0.17511781339637655,0.19294249840248362
18,19,0.18816022759268924,0.16208869232510603,0.16124640790049666,0.16375700085946376,0.17137539955418696,0.2500355478986473,0.16139238690041693,0.18115213065826333,0.17533885607966768,0.19442864576734825
19,20,0.19059207035135872,0.16574749129567617,0.1647964354779879,0.16648232692404202,0.17440453524379268,0.24917351678931893,0.16347471571033664,0.18106506626425134,0.17847893236541246,0.1980678476284876
20,21,0.19105863511306168,0.17038822094656386,0.1694165225722728,0.16818124674662013,0.17816063290049133,0.24863191471148238,0.1667603813575652,0.18551529711859716,0.18251743163918743,0.20096473451726835
21,22,0.18803738096205627,0.1661835035412961,0.16554384617317539,0.16451759637003707,0.17637705621311994,0.24353236397272393,0.1635967764747237,0.18408130822116367,0.18310827894099915,0.1972064189082664
22,23,0.18189478293541236,0.16292811259355355,0.16237075215951857,0.16057589797253222,0.17366506749786,0.23732188052483946,0.15929249601536305,0.17985717697784726,0.18038857559611168,0.19902700505283988
23,24,0.17378010271053354,0.15394991786983095,0.15335628836040874,0.15192255272929445,0.1678906221017883,0.2259923644867086,0.14982162068030097,0.17107545452163786,0.17307300210863247,0.19813637354244376
24,25,0.16650169104512327,0.14746288434638855,0.1468748846739077,0.14371038945165684,0.1621128568563132,0.22266313087318731,0.14240759671973532,0.1638790936423944,0.16765833772161987,0.17910064689040095
